"[Ricardo Julio Rodríguez, Juan Carlos García-Escartín]",Security assessment of the Spanish contactless identity card.
"[Mohd Anuar Mat Isa, Habibah Hashim, Syed Farid Syed Adnan, Norhaflyza Marbukhari, Nur Nabila Mohamed]",An automobile security protocol - side-channel security against timing and relay attacks.
"[Ahmed Drissi, Ahmed Asimi]",Behavioral and Security Study of the OHFGC Hash Function.
"[Seyed Mahmood Hashemi, Jingsha He]",An Evolutionary Multi-objective Approach for Modelling Network Security.
"[Seyed Mahmood Hashemi, Jingsha He, Alireza Ebrahimi Basabi]",Multi-objective Optimization for Computer Security and Privacy.
"[Zhengping Jin, Hong Zhang, Zhongxian Li]",Security on a Knapsack-Type Encryption Scheme Based Upon Hybrid-Model Assumption.
"[Omprakash Kaiwartya, Mukesh Prasad, Shiv Prakash, Durgesh Samadhiya, Abdul Hanan Abdullah, andSyed Othmawi Abd Rahman]",An Investigation on Biometric Internet Security.
"[Caihui Lan, Haifeng Li, Shoulin Yin, Lin Teng]",A New Security Cloud Storage Data Encryption Scheme Based on Identity Proxy Re-encryption.
"[Iuon-Chang Lin, Tzu-Chun Liao]",A Survey of Blockchain Security Issues and Challenges.
"[Ming Luo, Yuwei Wan, Donghua Huang]",Certificateless Hybrid Signcryption Scheme with Known Session-Specific Temporary Information Security.
"[Umesh Kumar Singh, Chanchala Joshi]",Information Security Risk Management Framework for University Computing Environment.
"[Yang Sun, Xueshuai Feng, Hongfeng Zhu]",Two-phase Commit with Security Services - Using Distinctive Proofs to Relieve Fragile Communications.
"[Jianhong Zhang, Pengyan Li, Min Xu]",On the Security of an Mutual Verifiable Provable Data Auditing in Public Cloud Storage.
"[Qianying Zhang, Zhiping Shi]",A New Way to Prevent UKS Attacks Using Hardware Security Chips.
"[Abubakar Garba Bello, David Murray, Jocelyn Armarego]",A systematic approach to investigating how information security and privacy can be achieved in BYOD environments.
"[Hao Chen, Wenli Li]",Mobile device users&apos; privacy security assurance behavior - A technology threat avoidance perspective.
Dmitriy V. Chulkov,Escalation of commitment and information security - theories and implications.
"[Lena Connolly, Michael Lang 0001, John Gathegi, J. Doug Tygar]","Organisational culture, procedural countermeasures, and employee security behaviour - A qualitative study."
"[Temesgen Kitaw Damenu, Chris Beaumont]",Analysing information security in a bank using soft systems methodology.
"[Noluxolo Gcaza, Rossouw von Solms, Marthie Grobler, Joey Jansen van Vuuren]",A general morphological analysis - delineating a cyber-security culture.
"[Peter Mayer, Nina Gerber, Ronja McDermott, Melanie Volkamer, Joachim Vogt 0002]",Productivity vs security - mitigating conflicting goals in organizations.
"[Malcolm Robert Pattinson, Marcus A. Butavicius, Kathryn Parsons, Agata McCormac, Dragana Calic]",Managing information security awareness at an Australian bank - a comparative study.
"[Prashanth Rajivan, Pablo Moriano, Timothy Kelley, L. Jean Camp]",Factors in an end user security expertise instrument.
"[Dirk Snyman, Hennie A. Kruger]",The application of behavioural thresholds to analyse collective behaviour in information security.
"[Harrison Stewart, Jan Jürjens]",Information security management and the human aspect in organizations.
Hamed Taherdoost,Understanding of e-service security dimensions and its effect on quality and intention to use.
Rogier Woltjer,Workarounds and trade-offs in information security - an exploratory study.
"[Woosik Lee, Namgi Kim]",Security Policy Scheme for an Efficient Security Architecture in Software-Defined Networking.
"[Myung Kang, Hossein Saiedian]",USBWall - A novel security mechanism to protect against maliciously reprogrammed USB devices.
"[Garima Mehta, Malay Kishore Dutta, Pyung Soo Kim]",Combinational domain-based encryption using FrWT and hyper-chaotic system for biometric data security.
"[Kevin I. Jones, Helge Janicke, Christian Facchi, Leandros A. Maglaras]",Introduction to the special issue of the journal of information security and applications on &quot;ICS &amp; SCADA cyber security&quot;.
"[Chanchala Joshi, Umesh Kumar Singh]",Information security risks management framework - A step towards mitigating security risks in university network.
"[Hwankuk Kim, Kyungho Lee, Jongin Lim]",A Study on the Impact Analysis of Security Flaws between Security Controls - An Empirical Analysis of K-ISMS using Case-Control Study.
"[Saad Khan, Simon Parkinson, Yongrui Qin]",Fog computing security - a review of current applications and security solutions.
Joseph Y. Halpern,From qualitative to quantitative proofs of security properties using first-order conditional logic.
"[Daniel Migault, Tobias Guggemos, Sylvain Killian, Maryline Laurent, Guy Pujolle, Jean-Philippe Wary]",Diet-ESP - IP layer security for IoT.
"[Manar Mohamed, Song Gao 0010, Niharika Sachdeva, Nitesh Saxena, Chengcui Zhang, Ponnurangam Kumaraguru, Paul C. van Oorschot]",On the security and usability of dynamic cognitive game CAPTCHAs.
"[Toby C. Murray, Andrei Sabelfeld, Lujo Bauer]",Special issue on verified information flow security.
"[Marco Rocchetto, Luca Viganò 0001, Marco Volpe 0001]",An interpolation-based method for the verification of security protocols.
"[Daniel Ricardo dos Santos, Silvio Ranise, Luca Compagna, Serena Elisa Ponta]",Automatically finding execution scenarios to deploy security-sensitive workflows.
"[Zahra Jeddi, Ahmed Khattab, Esmaeil Amini, Magdy Bayoumi]",Redundant Bit Security in RFIDs - Architecture Design and Security Performance Evaluation.
"[Akashdeep Bhardwaj, Sam Goundar]",Security challenges for cloud-based email infrastructure.
Jay Botelho,How automating data collection can improve cyber-security.
Travis Farral,The attribution problem with information security attacks.
"[Steven Furnell, Ismini Vasileiou]",Security education and awareness - just let them burn?
Paul German,Is your Session Border Controller providing a false sense of security?
Paul German,Time to bury dedicated hardware-based security solutions.
Steve Mansfield-Devine,The right response - how organisations should react to security incidents.
Sean Newman,Service providers - the gatekeepers of Internet security.
Tim Ring,The Russians are coming! Are security firms over-hyping the hacker threat?
"[Rohit Talwar, April Koury]",Artificial intelligence - the next frontier in IT security?
Colin Tankard,Encryption as the cornerstone of big data security.
Nick Thompson,Putting security at the heart of app development.
Michael Wood,Top requirements on the SD-WAN security checklist.
Jesper Zerlang,GDPR - a milestone in convergence for cyber-security and compliance.
"[Seunghwan Chang, Hyang-Sook Lee, Juhee Lee, Seongan Lim]",Security Analysis of a Certificateless Signature from Lattices.
"[Hao Hu 0005, Hongqi Zhang, Yuling Liu, Yongwei Wang]",Quantitative Method for Network Security Situation Based on Attack Prediction.
"[Hongji Huang, Wanyou Sun, Jie Yang 0027, Guan Gui]",Relay Selections for Security and Reliability in Mobile Communication Networks over Nakagami-m Fading Channels.
"[Feng Li, Yali Si, Ning Lu, Zhen Chen, Limin Shen]",A Security and Efficient Routing Scheme with Misbehavior Detection in Delay-Tolerant Networks.
"[Chun-Juan Ouyang, Ming Leng, Jie-wu Xia, Huan Liu 0004]",Vague Sets Security Measure for Steganographic System Based on High-Order Markov Model.
"[Jiajun Shen, Dongqin Feng]",Stackelberg Interdependent Security Game in Distributed and Hierarchical Cyber-Physical Systems.
"[Chalee Vorakulpipat, Soontorn Sirapaisan, Ekkachan Rattanalerdnusorn, Visut Savangsuk]",A Policy-Based Framework for Preserving Confidentiality in BYOD Environments - A Review of Information Security Perspectives.
"[Fusheng Wu, Huanguo Zhang, Wengqing Wang, Jianwei Jia, Shi Yuan]",A New Method to Analyze the Security of Protocol Implementations Based on Ideal Trace.
"[Jianxin Xu 0004, Dongqin Feng]",Identification of ICS Security Risks toward the Analysis of Packet Interaction Characteristics Using State Sequence Matching Based on SF-FSM.
"[Qing Yang 0008, Rongxing Lu, Yacine Challal, Maryline Laurent]",Security and Privacy in Emerging Wireless Networks.
"[Bingxin Zhu, Puwen Wei, Mingqiang Wang]","Adaptive Security of Broadcast Encryption, Revisited."
Cristian Liviu Leca,Overview of Romania 802.11Wireless Security &amp; Statistics.
"[Wei Wang 0100, Kah Chan Teh, Kwok Hung Li]",Artificial Noise Aided Physical Layer Security in Multi-Antenna Small-Cell Networks.
"[Abhishek Basak, Swarup Bhunia, Thomas E. Tkacik, Sandip Ray]",Security Assurance for System-on-Chip Designs With Untrusted IPs.
"[Juntao Chen, Quanyan Zhu]",Security as a Service for Cloud-Enabled Internet of Controlled Things Under Advanced Persistent Threats - A Contract Design Approach.
Jinho Choi 0001,Physical Layer Security for Channel-Aware Random Access With Opportunistic Jamming.
"[Haichang Gao, Mengyun Tang, Yi Liu, Ping Zhang, Xiyang Liu]",Research on the Security of Microsoft&apos;s Two-Layer Captcha.
"[Do-hyung Kim 0002, Jun Bi, Athanasios V. Vasilakos, Ikjun Yeom]",Security of Cached Content in NDN.
"[Yue Li 0002, Haining Wang, Kun Sun]",Personal Information in Passwords and Its Security Implications.
"[Qi Xie, Duncan S. Wong, Guilin Wang, Xiao Tan, Kefei Chen, Liming Fang]",Provably Secure Dynamic ID-Based Anonymous Two-Factor Authenticated Key Exchange Protocol With Extended Security Model.
"[Ahmed A. Zewail, Aylin Yener]",Multi-Terminal Two-Hop Untrusted-Relay Networks With Hierarchical Security Guarantees.
Lei Zhang 0009,OTIBAAGKA - A New Security Tool for Cryptographic Mix-Zone Establishment in Vehicular Ad Hoc Networks.
"[Yubao Zhang, Xin Ruan, Haining Wang, Hui Wang, Su He]",Twitter Trends Manipulation - A First Look Inside the Security of Twitter Trending.
"[Aiqing Zhang, Lei Wang 0009, Xinrong Ye, Xiaodong Lin]",Light-Weight and Robust Security-Aware D2D-Assist Data Transmission Protocol for Mobile-Health Systems.
"[Jong Han Lee, Seung Joo Kim]",Analysis and Security Evaluation of Security Threat on Broadcasting Service.
"[Carlo Di Giulio, Read Sprabery, Charles A. Kamhoua, Kevin A. Kwiat, Roy H. Campbell, Masooda N. Bashir]",Cloud Standards in Comparison - Are New Security Frameworks Improving Cloud Security?
"[Othmar O. Mwambe, Isao Echizen]",Security Oriented Malicious Activity Diagrams to Support Information Systems Security.
"[Md. Shariful Islam, Thomas F. Stafford]",Information Technology (IT) Integration and Cybersecurity/Security - The Security Savviness of Board of Directors.
Gunes Koru,Evaluation and Adoption of Security Standards to Improve Information Security in Healthcare Administration Systems.
"[Sharareh Zamanzadeh, Ali Jahanian 0001]",Scalable security path methodology - A cost-security trade-off to protect FPGA IPs against active and passive tampers.
Christof Ebert,Risk-Oriented Security Engineering.
"[Kevin Lamshöft, Robert Altschaffel, Jana Dittmann]",Adapting Organic Computing Architectures to an Automotive Environment to Increase Safety &amp; Security.
"[Karima Aissaoui, Mostafa Azizi]",El-Security - E-learning Systems Security Checker Plug-in.
Peter Y. A. Ryan,A Brief History of Security Protocols.
"[Daniel Fett, Ralf Küsters, Guido Schmitz]",The Web SSO Standard OpenID Connect - In-depth Formal Security Analysis and Security Guidelines.
"[Gang Zhang, Xiaofeng Qiu, Wei Chang]",Scheduling of Security Resources in Software Defined Security Architecture.
"[Tianhui Meng, Zhihao Shang, Katinka Wolter]",An empirical performance and security evaluation of android container solutions.
"[Michelle Omoogun, Preetila Seeam, Visham Ramsurrun, Xavier J. A. Bellekens, Amar Seeam]",When eHealth meets the internet of things - Pervasive security and privacy challenges.
Cyril Onwubiko,"Security operations centre - Situation awareness, threat intelligence and cybercrime."
"[Maximilian Frank, Maria Leitner, Timea Pahi]",Design Considerations for Cyber Security Testbeds - A Case Study on a Cyber Security Testbed for Education.
"[Mengmeng Ge, Huy Kang Kim, Dong Seong Kim]",Evaluating Security and Availability of Multiple Redundancy Designs when Applying Security Patches.
"[Nicolas Mayer, Christophe Feltus]",Evaluation of the risk and security overlay of archimate to model information system security risks.
"[Jin-Ning Tioh, Mani Mina, Douglas W. Jacobson]",Cyber security training a survey of serious games in cyber security.
Massimiliano Rak,Security Assurance of (Multi-)Cloud Application with Security SLA Composition.
"[Ersin Dincelli, Sanjay Goel]",Can Privacy and Security Be Friends? A Cultural Framework to Differentiate Security and Privacy Behaviors on Online Social Networks.
"[Robert Fischer 0001, Kevin Lamshoft, Jana Dittmann, Claus Vielhauer]",Advanced issues in wireless communication security - Towards a security-demonstrator for smart-home environments.
"[Kewei Sha, Ranadheer Errabelly, Wei Wei, T. Andrew Yang, Zhiwei Wang]",EdgeSec - Design of an Edge Layer Security Service to Enhance IoT Security.
"[Xiaofeng Qiu, Fangyuan Cheng, Weijia Wang, Gang Zhang, Yangjun Qiu]",A security controller-based software defined security architecture.
Clara Ament,The Ubiquitous Security Expert - Overconfidence in Information Security.
"[Christina Yong Jeong, Sang-Yong Tom Lee, Jee-Hae Lim]",The Impact of Information Security Breaches and IT Security Investments on a Firm&apos;s Competitors.
"[Rabea Sonnenschein, André Loske, Peter Buxmann]",The Role of Top Managers&apos; IT Security Awareness in Organizational IT Security Management.
"[Jean-Louis Huynen, Gabriele Lenzini]",From Situation Awareness to Action - An Information Security Management Toolkit for Socio-technical Security Retrospective and Prospective Analysis.
"[Waqar Ali, Ghulam Dustgeer, Muhammad Awais, Munam Ali Shah]","IoT based smart home - Security challenges, security requirements and solutions."
"[Barnaby Craggs, Awais Rashid]",Smart Cyber-Physical Systems - Beyond Usable Security to Security Ergonomics by Design.
"[Sanghak Oh, Eunsoo Kim, Jaehoon (Paul) Jeong, Hoon Ko, Hyoungshick Kim]",A flexible architecture for orchestrating network security functions to support high-level security policies.
"[Lynette Drevin, Hennie A. Kruger, Anna-Marie Bell, Tjaart Steyn]",A Linguistic Approach to Information Security Awareness Education in a Healthcare Environment.
"[Konstantin G. Kogos, Sergey V. Zapechnikov]",Studying Formal Security Proofs for Cryptographic Protocols.
"[Thandolwethu Mabece, Lynn Futcher, Kerry-Lynn Thomson]",South African Computing Educators&apos; Perspectives on Information Security Behaviour.
"[Natalia G. Miloslavskaya, Alexander I. Tolstoy]",Designing Degree Programmes for Bachelors and Masters in Information Security.
"[Natalia G. Miloslavskaya, Alexander I. Tolstoy]",ISO/IEC Competence Requirements for Information Security Professionals.
"[Natalia G. Miloslavskaya, Alexander I. Tolstoy, Anton Migalin]",&quot;Network Security Intelligence&quot; Educational and Research Center.
"[Stig Fr. Mjølsnes, Ruxandra F. Olimid]",Introducing Mobile Network Security Experiments to Communication Technology Education.
"[Erik Moore, Steven Fulton, Daniel M. Likarish]",Evaluating a Multi Agency Cyber Security Training Program Using Pre-post Event Assessment and Longitudinal Analysis.
"[Carlo Di Giulio, Read Sprabery, Charles A. Kamhoua, Kevin A. Kwiat, Roy H. Campbell, Masooda N. Bashir]",Cloud security certifications - a comparison to improve cloud service provider security.
"[G. Perrone, S. P. Romano]",The Docker Security Playground - A hands-on approach to the study of network security.
"[Katerina Goseva-Popstojanova, Jacob Tyo]",Experience Report - Security Vulnerability Profiles of Mission Critical Software - Empirical Analysis of Security Related Bug Reports.
Sanu Mathew,Security keynote - Ultra-low-energy security circuit primitives for IoT platforms.
"[Ghada Glissa, Aref Meddeb]",6LoWPAN multi-layered security protocol based on IEEE 802.15.4 security features.
"[Luigi Lo Iacono, Hartmut Schmitt, Andreas Heinemann]",3. Workshop Usable Security - Ziele der Usability und Security ausbalancieren.
"[Wilfried Daniels, Danny Hughes 0001, Mahmoud Ammar, Bruno Crispo, Nelson Matthys, Wouter Joosen]",SμV - the security microvisor - a virtualisation-based security middleware for the internet of things.
"[Terrence H. Tan, Sean B. Maynard, Atif Ahmad, Tobias Ruighaver]",Information Security Governance - A Case Study of the Strategic Context of Information Security.
"[Shenghui Su, Jianhua Zheng, Shuwang Lü, Zhiqiu Huang, Zhoujun Li, Zhenmin Tang]",Idology and Its Applications in Public Security and Network Security.
Carla Maria Sayan,An Intelligent Security Assistant for Cyber Security Operations.
"[Marcus Hilbrich, Markus Frank]",Enforcing Security and Privacy via a Cooperation of Security Experts and Software Engineers - A Model-Based Vision.
"[Nadya el Moussaid, Ahmed Toumanari, Maryam el Azhari]",Security analysis as software-defined security for SDN environment.
"[Michael E. Shin, Don Pathirage]",Security Requirements for Tolerating Security Failures.
"[Tejaswini Herath, Hemantha S. B. Herath, John D&apos;Arcy]",Managing Security in Organizations - Adoption of Information Security Solutions.
"[Yiming Lu, Wanxing Sheng, Riliang Liu, Peipei Jin]",Research and Construction of Dynamic Awareness Security Protection Model Based on Security Policy.
"[Prashant Anantharaman, Michael E. Locasto, Gabriela F. Ciocarlie, Ulf Lindqvist]",Building Hardened Internet-of-Things Clients with Language-Theoretic Security.
Andrei Costin,Lua Code - Security Overview and Practical Approaches to Static Analysis.
"[Felix Fischer, Konstantin Böttinger, Huang Xiao, Christian Stransky, Yasemin Acar, Michael Backes 0001, Sascha Fahl]",Stack Overflow Considered Harmful? The Impact of Copy&amp;Paste on Android Application Security.
"[Oliver Gasser, Quirin Scheitle, Carl Denis, Nadja Schricker, Georg Carle]",Security Implications of Publicly Reachable Building Automation Systems.
"[Yi Lu, Sora Bae, Padmanabhan Krishnan, K. R. Raghavendra]",Inference of Security-Sensitive Entities in Libraries.
"[Davide Quarta, Marcello Pogliani, Mario Polino, Federico Maggi, Andrea Maria Zanchettin, Stefano Zanero]",An Experimental Security Analysis of an Industrial Robot Controller.
Marios O. Choudary,Security from Disjoint Paths - Is It Possible? (Transcript of Discussion).
Dylan Clarke,End to End Security is Not Enough (Transcript of Discussion).
"[Dylan Clarke, Syed Taha Ali]",End to End Security is Not Enough.
"[Sergiu Costea, Marios O. Choudary, Costin Raiciu]",Security from Disjoint Paths - Is It Possible?
Simon N. Foley,Getting Security Objectives Wrong - A Cautionary Tale of an Industrial Control System.
Simon N. Foley,Getting Security Objectives Wrong - A Cautionary Tale of an Industrial Control System (Transcript of Discussion).
Hugo Jonker,A Security Perspective on Publication Metrics (Transcript of Discussion).
"[Hugo Jonker, Sjouke Mauw]",A Security Perspective on Publication Metrics.
"[Fabio Massacci, Chan Nam Ngo, Jing Nie, Daniele Venturi 0001, Julian Williams]",The Seconomics (Security-Economics) Vulnerabilities of Decentralized Autonomous Organizations.
Chan Nam Ngo,The Seconomics (Security-Economics) Vulnerabilities of Decentralized Autonomous Organizations (Transcript of Discussion).
Paul Wernick,Simulating Perceptions of Security (Transcript of Discussion).
"[Paul Wernick, Bruce Christianson, Joseph Spring]",Simulating Perceptions of Security.
"[Tanner J. Burns, Samuel C. Rios, Thomas K. Jordan, Qijun Gu, Trevor Underwood]",Analysis and Exercises for Engaging Beginners in Online CTF Competitions for Security Education.
"[Stefano Calzavara, Alvise Rabitti, Michele Bugliesi]",CCSP - Controlled Relaxation of Content Security Policies by Runtime Policy Composition.
"[Tom Chothia, Sam Holdcroft, Andreea-Ina Radu, Richard J. Thomas]","Jail, Hero or Drug Lord? Turning a Cyber Security Course Into an 11 Week Choose Your Own Adventure Story."
"[Ren Ding, Chenxiong Qian, Chengyu Song, William Harris, Taesoo Kim, Wenke Lee]",Efficient Protection of Path-Sensitive Control Security.
