"[Hyun-Jong Cha, Ho-Kyung Yang, Jin-Mook Kim, You-Jin Song]",A Design of System using homomorphic encryption for multimedia data management.
"[Xin Chen, Longfei Li, Xudong Xiang]",Ant colony learning method for joint MCS and resource block allocation in LTE Femtocell downlink for multimedia applications with QoS guarantees.
"[Yung-Hui Chen, Chun-Hsiung Tseng, Ching-Lien Huang, Lawrence Y. Deng, Wei-Chun Lee]",Recommendation system based on rule-space model of two-phase blue-red tree and optimized learning path with multimedia learning and cognitive assessment evaluation.
"[Paolo Cremonesi, Mehdi Elahi, Franca Garzotto]",User interface patterns in recommendation-empowered content intensive multimedia applications.
Bakkiam David Deebak,Mutual authentication scheme for multimedia medical information systems.
"[Nishant Doshi, Saru Kumari, Dheerendra Mishra, Xiong Li 0002, Kim-Kwang Raymond Choo, Arun Kumar Sangaiah]",A password based authentication scheme for wireless multimedia systems.
"[Ahmed M. Elmisery, Seungmin Rho, Mirela Sertovic, Karima Boudaoud, Sanghyun Seo]",Privacy aware group based recommender system in multimedia services.
"[Fernando Ferri, Patrizia Grifoni, Arianna D&apos;Ulizia, Maria Chiara Caschera]",Guest Editorial - Multimedia in Social Mobile Computing (MSMC).
"[David de la Fuente, Jesús Barba, Juan Carlos López, Pablo Peñil, Héctor Posadas, Pablo Sánchez Espeso]",Synthesis of simulation and implementation code for OpenMAX multimedia heterogeneous systems from UML/MARTE models.
"[Jianxin Ge, Jiaomin Liu]",Research on high precision matching optimization method and software testing analysis of regions with fuzzy details of multimedia images in cloud environment.
"[Ilias Gialampoukidis, Anastasia Moumtzidou, Dimitris Liparas, Theodora Tsikrika, Stefanos Vrochidis, Ioannis Kompatsiaris]",Multimedia retrieval based on non-linear graph-based fusion and partial least squares regression.
"[Álan Lívio Vasconcelos Guedes, Roberto Gerson De Albuquerque Azevedo, Simone Diniz Junqueira Barbosa]",Extending multimedia languages to support multimodal user interactions.
Li Guo,An embedded multimedia communication terminal based on DSP+FPGA.
"[Harshita Gupta, Saumya Singh, Priyanka Sinha]",Multimedia tool as a predictor for social media advertising- a YouTube way.
"[Shih-Chang Huang, Hong-Yi Chang]",A farmland multimedia data collection method using mobile sink for wireless sensor networks.
"[Jongkil Hyun, Byungin Moon]",A simplified rectification method and its hardware architecture for embedded multimedia systems.
"[Sung-Bong Jang, Young Woong Ko]",Efficient multimedia big data anonymization.
"[Gwanggil Jeon, Ernesto Damiani, Marco Anisetti]",Computational intelligence for multimedia and industrial applications.
Hwa-Young Jeong,A priority for WSN in ubiquitous environment - multimedia security requirements.
"[Eun Su Jeong, In-Seok Kim, Dong Hoon Lee 0001]",SafeGuard - a behavior based real-time malware detection scheme for mobile multimedia applications in android platform.
"[Xinglong Jiang, Yang Yu, Lulu Zhao, Huijie Liu]",Constrained nondominated neighbor immune multiobjective optimization algorithm for multimedia delivery.
"[Hae-Jong Joo, Hwa-Young Jeong]",Quality measurement system for a wireless network based on the multimedia-data service.
Jason J. Jung,Guest Editorial - Story-based Multimedia Contents.
"[Kye-Dong Jung, Seok-Jae Moon, Jin-Mook Kim]",Data access control method for multimedia content data sharing and security based on XMDR-DAI in mobile cloud storage.
"[Kyedong Jung, Seok-Jae Moon, Jong-Yong Lee]",XMDR-DAI-based USN multimedia MetaData management agent for sensor networks.
"[Ilias Kalamaras, Nikolaos Dimitriou, Anastasios Drosou, Dimitrios Tzovaras]",Accessibility-based reranking in multimedia search engines.
"[Yong-Shin Kang, Sekyoung Youm]",Multimedia application to an extended public transportation network in South Korea - optimal path search in a multimodal transit network.
Murtaza Ali Khan,Multiresolution coding of motion capture data for real-time multimedia applications.
"[Murad Khan, Sadia Din, Moneeb Gohar, Awais Ahmad, Salvatore Cuomo, Francesco Piccialli, Gwanggil Jeon]",Enabling multimedia aware vertical handover Management in Internet of Things based heterogeneous wireless networks.
"[Yongmin Kim, Kyoungsoo Bok, Ingook Son, Junho Park, Byoungyup Lee, Jaesoo Yoo]",Positioning sensor nodes and smart devices for multimedia data transmission in wireless sensor and mobile P2P networks.
"[Young-Kyu Kim, Yong-Hwan Lee, Byungin Moon]",A study of partitioned DIMM tree management for multimedia server systems.
"[Byung-Kwan Kim, Su-Jin Oh, Sung-Bong Jang, Young Woong Ko]",File similarity evaluation scheme for multimedia data using partial hash information.
"[Yongmin Kim, Junho Park, Jongtae Lim, Jaesoo Yoo]",An energy-efficient compression scheme for wireless multimedia sensor networks.
"[Yiannis Kompatsiaris, Guillaume Gravier]",Special Issue on Content Based Multimedia Indexing.
"[Zois Koukopoulos, Dimitrios Koukopoulos, Jason J. Jung]",A trustworthy multimedia participatory platform for cultural heritage management in smart city environments.
"[Yu-Ting Kuang, Ritika Singh, Saumya Singh, Shri Prakash Singh]",A novel macroeconomic forecasting model based on revised multimedia assisted BP neural network model and ant Colony algorithm.
"[Hyunsoo Kwon, Changhee Hahn, Daeyoung Kim, Junbeom Hur]",Secure deduplication for multimedia data with user revocation in cloud storage.
"[Liao Lang, Yonghong Huang, Liu Xingming]",Study on the mining method for specific fault data of multimedia sensor networks in cloud computing environment.
Jooheung Lee,Energy efficient processing of motion estimation for embedded multimedia systems.
"[Woonghee Lee, Hyunsoon Kim, Joon Yeop Lee, Hwangnam Kim]",Improving quality of multimedia services through network performance isolation in a mobile device.
Jun Li,A synthetic research on the multimedia data encryption based mobile computing security enhancement model and multi-channel mobile human computer interaction framework.
"[Liang Li 0003, Zi Huang, Zheng-Jun Zha, Shuqiang Jiang]",Guest Editorial - Knowledge-Based Multimedia Computing.
"[Jun Li, Rishav Singh, Ritika Singh]",A novel large-scale multimedia image data classification algorithm based on mapping assisted deep neural network.
"[Suoping Li, Jun Yu, Zufang Dou, Duo Peng, Yongqiang Zhou]",Delay analysis of MSW-ARQ system based on wireless multimedia services.
Mingyu Lim,CMSNS - a communication middleware for social networking and networked multimedia systems.
"[Tianhua Liu, Shoulin Yin]",An improved particle swarm optimization algorithm used for BP neural network and multimedia course-ware evaluation.
"[Luis López-Fernández, Boni García, Micael Gallego, Francisco Gortázar]",Designing and evaluating the usability of an API for real-time multimedia services in the Internet.
"[Maria De Marsico, Daniela Fogli]",Guest Editorial - Multimedia for Advanced Human-Computer Interaction.
"[David Mera, Michal Batko, Pavel Zezula]",Speeding up the multimedia feature extraction - a comparative study on the big data approach.
Andreea Molnar,Content type and perceived multimedia quality in mobile learning.
"[Rui Nóbrega, Nuno Correia]",Interactive 3D content insertion in images for multimedia applications.
"[Valeria Orso, Anna Spagnolli, Luciano Gamberini, Francisco Ibañez, Maria Elena Fabregat]",Interactive multimedia content for older adults - the case of SeniorChannel.
Jae Wan Park,Hybrid Monopoly - A Multimedia Board Game that Supports Bidirectional Communication between a Mobile Device and a Physical Game Set.
"[Sun-Woo Park, Chul-Ho Cho, Suk Bong Choi]","Social multimedia network service quality, user satisfaction, and prosumer activity."
"[Young-Soo Park, Koo-Rack Park, Jin-Mook Kim, Hwa-Young Jeong]",Fast Fourier transform benchmark on X86 Xeon system for multimedia data processing.
"[Fei Peng, Xiaoqing Gong, Min Long, Xingming Sun]",A selective encryption scheme for protecting H.264/AVC video in multimedia social network.
"[Jinghui Peng, Shanyu Tang, Liping Zhang, Ran Liu]",Information retrieval of mass encrypted data over multimedia networking with N-level vector model-based relevancy ranking.
"[Georgios Petkos, Manos Schinas, Symeon Papadopoulos, Yiannis Kompatsiaris]",Graph-based multimodal clustering for social multimedia.
"[Mehdi Pirahandeh, Deok-Hwan Kim]",Energy-aware and intelligent storage features for multimedia devices in smart classroom.
"[Catia Prandi, Marco Roccetti, Paola Salomoni, Valentina Nisi, Nuno Jardim Nunes]",Fighting exclusion - a multimedia mobile app with zombies and maps as a medium for civic engagement and design.
"[Xin Pu, Xiao-jian Tian, Jing Zhang, Chun-yan Liu, Jing Yin]",Chaotic multimedia stream cipher scheme based on true random sequence combined with tree parity machine.
Md. Abdur Rahman,Web-based multimedia hand-therapy framework for measuring forward and inverse kinematic data.
"[Werner Robitza, Arslan Ahmad, Péter András Kara, Luigi Atzori, Maria G. Martini, Alexander Raake, Lingfen Sun]",Challenges of future multimedia QoE monitoring for internet service providers.
"[Elena Sánchez-Nielsen, Francisco Chávez-Gutiérrez, Javier Lorenzo-Navarro, Modesto Castrillón Santana]",A multimedia system to produce and deliver video fragments on demand on parliamentary websites.
"[Saima Shaheen, M. Usman Akram, Aasia Khanum, Shoab Ahmad Khan, M. Younas Javed]",A cross layer error control scheme for efficient WLAN multimedia streaming.
"[Heehoon Shin, Joon-Sang Park]",Optimizing random network coding for multimedia content distribution over smartphones.
"[Shikhar Shrivastav, Sandeep Kumar, Kuldeep Kumar]",Towards an ontology based framework for searching multimedia contents on the web.
"[Sandip Kumar Singh, Sandeep Kumar, J. P. Dwivedi]",Compound fault prediction of rolling bearing using multimedia data.
"[Vishal Krishna Singh, Gajendra Sharma, Manish Kumar]",Compressed sensing based acoustic event detection in protected area networks with wireless multimedia sensors.
"[Sanjay Kumar Singh, Shrikant Tiwari, Ali Imam Abidi, Aruni Singh]",Prediction of pain intensity using multimedia data.
"[Xin Su, Yang Wang, Dongmin Choi, Pankoo Kim, Chang Choi]",Channel allocation and power control schemes for cross-tier 3GPP LTE networks to support multimedia applications.
Piotr Szczuko,Real and imaginary motion classification based on rough set analysis of EEG signals for multimedia applications.
"[Enkhtogtokh Togootogtokh, Timothy K. Shih]",Multimedia content analysis on gesture event detection for a SMART TV Keyboard application.
"[Nikolaos Tsipas, Lazaros Vrysis, Charalampos Dimoulas, George Papanikolaou]",Efficient audio-driven multimedia indexing through similarity-based speech / music discrimination.
"[Natarajan Venkatachalam, R. Anitha]",A multi-feature approach to detect Stegobot - a covert multimedia social network botnet.
"[Yulei Wang, Jie Yang, Gang Qiu, Weining Feng]",A formalized delegation model for multimedia social networks.
"[Chengqi Wang, Xiao Zhang, Zhiming Zheng 0001]",An improved biometrics based authentication scheme using extended chaotic maps for multimedia medicine information systems.
"[Qiong Wu, Guihe Qin, Biaobing Huang]",The research of multimedia cloud computing platform data dynamic task scheduling optimization method in multi core environment.
"[Zheng Xu, Junchi Yan, Richard Yida Xu, Lin Mei]",Guest Editorial - Visual Multimedia Learning from Big Surveillance Data.
"[Jiachen Yang, Shudong He, Yancong Lin, Zhihan Lv]",Multimedia cloud transmission and storage system based on internet of things.
"[Ta Chih Yang, Nai-Wei Lo, Horng-Twu Liaw, Wei Chen Wu]",A secure smart card authentication and authorization framework using in multimedia cloud.
"[Sekyoung Youm, Shuai Liu]",Development healthcare PC and multimedia software for improvement of health status and exercise habits.
"[Jonghee M. Youn, Doosan Cho]",Improving memory system performance for multimedia applications.
"[Zhiyong Zhang 0002, Kim-Kwang Raymond Choo]",Guest Editorial - Multimedia Social Network Security and Applications.
"[Baochang Zhang, Jungong Han, Ling Shao 0001]",Guest Editorial - Feature Learning from RGB-D Data for Multimedia Applications.
"[Ning Zhang, Hwa-Young Jeong]",A retrieval algorithm for specific face images in airport surveillance multimedia videos on cloud computing platform.
"[Zhiyong Zhang 0002, Ranran Sun, Changwei Zhao, Jian Wang, Carl K. Chang, B. Brij Gupta]",CyVOD - a novel trinity multimedia social network scheme.
"[Rongyong Zhao, Cuiling Li, Xiangke Tian]",A novel industrial multimedia - rough set based fault diagnosis system used in CNC grinding machine.
"[Zhigao Zheng, Hwa-Young Jeong, Tao Huang, Jiangbo Shu]",KDE based outlier detection on distributed data streams in multimedia network.
"[Hao Zheng, Jian-fang Liu, Jing-Li Gao, Qingmei Lu]",Feature detection method for small targets of complex multimedia images in cloud environment.
"[Wenzhong Zhu, Hualong Jiang, Shuwen Zhou, Mike Addison]",An optimal resources scheduling strategy on multimedia cloud computing under multi- device constraint.
Adel Ali Ahmed,A real-time routing protocol with adaptive traffic shaping for multimedia streaming over next-generation of Wireless Multimedia Sensor Networks.
"[Mohammad Hosseini, Yu Jiang 0001, Richard R. Berlin, Lui Sha, Houbing Song]",Toward Physiology-Aware DASH - Bandwidth-Compliant Prioritized Clinical Multimedia Communication in Ambulances.
"[Faliang Huang, Xuelong Li, Shichao Zhang, Jilian Zhang, Jinhui Chen, Zhi-nian Zhai]",Overlapping Community Detection for Multimedia Social Networks.
"[Carlos M. Lentisco, Luis Bellido, Encarna Pastor]",Reducing Latency for Multimedia Broadcast Services Over Mobile Networks.
"[Yun-Fu Liu, Jing-Ming Guo, Lingling An]",Multimedia Classification Using Bipolar Relation Graphs.
"[Dongyuan Lu, Jitao Sang, Zhineng Chen, Min Xu, Tao Mei]",Who Are Your &quot;Real&quot; Friends - Analyzing and Distinguishing Between Offline and Online Friendships From Social Multimedia Data.
"[Seong-Eun Moon, Jong-Seok Lee]",Implicit Analysis of Perceptual Multimedia Experience Based on Physiological Response - A Review.
"[Benjamin Rainer, Stefan Petscharnig, Christian Timmerer, Hermann Hellwagner]",Statistically Indifferent Quality Variation - An Approach for Reducing Multimedia Distribution Cost for Adaptive Video Streaming Services.
"[Jingkuan Song, Hervé Jégou, Cees Snoek, Q. Tian, Nicu Sebe]","Guest Editorial - Large-Scale Multimedia Data Retrieval, Classification, and Understanding."
"[Bin Tan, Jun Wu 0006, Ying Li, Hao Cui, Wei Yu, Chang Wen Chen]",Analog Coded SoftCast - A Network Slice Design for Multimedia Broadcast/Multicast.
"[Susanne Boll, Touradj Ebrahimi, Cathal Gurrin, Laleh Jalali, Ramesh Jain, Jochen Meyer, Noel E. O&apos;Connor]",MMHealth 2017 - Workshop on Multimedia for Personal Health and Health Care.
"[Teresa Chambel, Rene Kaiser, Omar Niamut, Wei Tsang Ooi]",AltMM 2017 - 2nd International Workshop on Multimedia Alternate Realities.
Chien-Nan (Shannon) Chen,"SIGMM Award for Outstanding Ph.D. Thesis in Multimedia Computing, Communications and Applications 2017."
Xiang Chen,Towards Global Optimization in Display Advertising by Integrating Multimedia Metrics with Real-Time Bidding.
Jianfeng Dong,Cross-media Relevance Computation for Multimedia Retrieval.
"[Mengdi Fan, Wenmin Wang, Peilei Dong, Liang Han, Ronggang Wang, Ge Li]",Cross-media Retrieval by Learning Rich Semantic Embeddings of Multimedia.
"[Ayush Jaiswal, Ekraam Sabir, Wael Abd-Almageed, Premkumar Natarajan]",Multimedia Semantic Integrity Assessment Using Joint Embedding Of Images And Text.
"[Xiaopeng Li, James She]",Relational Variational Autoencoder for Link Prediction with Multimedia Data.
"[Yung-Hsiang Lu, Andrea Cavallaro, Catherine Crump, Gerald Friedland, Keith Winstein]",Privacy Protection in Online Multimedia.
"[Jiebo Luo, Damian Borth, Quanzeng You]",Social Multimedia Sentiment Analysis.
"[Vasileios Mezaris, Lyndon J. B. Nixon, Symeon Papadopoulos, Jochen Spangenberg]",MuVer&apos;17 - First International Workshop on Multimedia Verification.
"[Hyungik Oh, Ramesh Jain]",From Multimedia Logs to Personal Chronicles.
"[Benjamin Renoust, Haolin Ren, Guy Melançon, Marie-Luce Viaud, Shin&apos;ichi Satoh]",FaceCloud - Heterogeneous Cloud Visualization of Multiplex Networks for Multimedia Archive Exploration.
"[Ansgar Scherp, Vasileios Mezaris, Thomas Köhler, Alexander G. Hauptmann]",MultiEdTech 2017 - 1st International Workshop on Multimedia-based Educational and Knowledge Technologies for Personalized and Social Online Training.
"[Klaus Schoeffmann, Bernd Münzer, Michael Riegler, Pål Halvorsen]",Medical Multimedia Information Systems (MMIS).
Arnold W. M. Smeulders,"ACM SIGMM Award for Outstanding Technical Contributions to Multimedia Computing, Communications and Applications."
"[Hongliang Yu, Liangke Gui, Michael A. Madaio, Amy Ogan, Justine Cassell, Louis-Philippe Morency]",Temporally Selective Attention Model for Social and Affective State Recognition in Multimedia Content.
"[Julius Schöning, Anna L. Gert, Alper Açik, Tim C. Kietzmann, Gunther Heidemann, Peter König]",Exploratory Multimodal Data Analysis with Standard Multimedia Player - Multimedia Containers - A Feasible Solution to Make Multimodal Research Data Accessible to the Broad Audience.
"[Qiong Liu, Rainer Lienhart, Haohong Wang, Sheng-Wei &quot;Kuan-Ta&quot; Chen, Susanne Boll, Yi-Ping Phoebe Chen, Gerald Friedland, Jia Li, Shuicheng Yan]","Proceedings of the 2017 ACM on Multimedia Conference, MM 2017, Mountain View, CA, USA, October 23-27, 2017"
"[Wanmin Wu, Jianchao Yang, Qi Tian, Roger Zimmermann]","Proceedings of the on Thematic Workshops of ACM Multimedia 2017, Mountain View, CA, USA, October 23 - 27, 2017"
Zechao Li,Understanding-Oriented Multimedia Content Analysis
Leslie F. Sikos,Description Logics in Multimedia Reasoning
Kashif Ahmad,Events based Multimedia Indexing and Retrieval.
Farhan Alenizi,Robust Data Hiding in Multimedia for Authentication and Ownership Protection.
Raynor Vliegendhart,Incorporating Crowd Perspectives into Multimedia Retrieval Systems.
Merza Klaghstan,Multimedia data dissemination in opportunistic systems.
Carsten Kropf,Efficient Reorganisation of Hybrid Index Structures Supporting Multimedia Search Criteria.
Merih Seran Uysal,Efficient similarity search in large multimedia databases.
Mohammad Hmoud Al-Athamneh,Studies in source identification and video authentication for multimedia forensics.
Pape-Abdoulaye Fam,"Modélisation, analyse et optimisation de réseaux hybrides unicast-broadcast pour la diffusion de services multimédias linéaires et non linéaires. (Modeling, analysis and optimization of hybrid unicast-broadcast networks for linear and non-linear TV services)."
Thi Quynh Nhi Tran,Robust and comprehensive joint image-text representations. (Recherche multimédia à large échelle).
"[Zahid Akhtar, Tiago H. Falk]",Audio-Visual Multimedia Quality Assessment - A Comprehensive Survey.
"[Sunday C. Ekpo, Bamidele Adebisi, Andrew Wells]",Regulated-Element Frost Beamformer for Vehicular Multimedia Sound Enhancement and Noise Reduction Applications.
"[Abdel Ghani Karkar, Jihad Mohamad Alja&apos;am, Arif Mahmood]",Illustrate It! An Arabic Multimedia Text-to-Picture m-Learning System.
"[Moona Mazher, Azrina Abd Aziz, Aamir Saeed Malik, Hafeez Ullah Amin]",An EEG-Based Cognitive Load Assessment in Multimedia Learning Using Feature Extraction and Partial Directed Coherence.
"[Tenager Mekonnen, Pawani Porambage, Erkki Harjula, Mika Ylianttila]",Energy Consumption Analysis of High Quality Multi-Tier Wireless Multimedia Sensor Network.
"[Chan-Min Park, Rana Asif Rehman, Byung-Seo Kim]",Packet Flooding Mitigation in CCN-Based Wireless Multimedia Sensor Networks for Smart Cities.
"[Omar Said, Yasser Albagory, Mostafa Nofal, Fahad Al Raddady]",IoT-RTP and IoT-RTCP - Adaptive Protocols for Multimedia Transmission over Internet of Things Environments.
"[Xiaoshi Song, Yuting Geng, Xiangbo Meng, Jun Liu, Weimin Lei, Yingyou Wen]",Cache-Enabled Device to Device Networks With Contention-Based Multimedia Delivery.
"[Tarek AlSkaif, Boris Bellalta, Manel Guerrero Zapata, José M. Barceló-Ordinas]",Energy efficiency of MAC protocols in low data rate wireless multimedia sensor networks - A comparative study.
"[Batoul Sarvi, Hamid R. Rabiee, Kiarash Mizanian]",An adaptive cross-layer error control protocol for wireless multimedia sensor networks.
"[Yongwei Zhang, Pin Wan, Shunchao Zhang, Yonghua Wang 0001, Nan Li]",A Spectrum Sensing Method Based on Signal Feature and Clustering Algorithm in Cognitive Wireless Multimedia Sensor Networks.
"[Seungoh Paek, Dan Hoffman, Antonios Saravanos]",Spatial contiguity and incidental learning in multimedia environments.
"[Zhe Wang, Narayankripa Sundararajan, Olusola O. Adesope, Yuliya Ardasheva]",Moderating the seductive details effect in multimedia learning with note-taking.
"[Chunlin Li, Yanpei Liu, Youlong Luo]",Multimedia cloud content distribution based on interest discovery and integrated utility of user.
"[R. Uma, K. Muneeswaran]",OMIR - Ontology-Based Multimedia Information Retrieval System for Web Usage Mining.
"[Thomas K. F. Chiu, Ida A. C. Mok]",Learner expertise and mathematics different order thinking skills in multimedia learning.
"[Tim Kühl, Steffi Zander]",An inverted personalization effect when learning with multimedia - The case of aversive content.
"[M. S. Gouri, R. V. Siva Balan]",Enhancement of multimedia security using random permutation with wavelet function.
"[Sukumaran Aasha Nandhini, Radha Sankararajan]",Efficient compressed sensing-based security approach for video surveillance application in wireless multimedia sensor networks.
"[Muhammad Muneer Umar, Amjad Mehmood, Houbing Song, Kim-Kwang Raymond Choo]",I-Marks - An iris code embedding system for ownership identification of multimedia content.
"[Bo Wang, Jing Xu, Houbing Song]",Research on the improved algorithm for image quantum encryption in multimedia networks.
"[Chi-Cheng Chang, Chaoyun Liang, Pao-Nan Chou, Guan-You Lin]",Is game-based learning better in flow experience and various types of cognitive load than non-game-based learning? Perspective from multimedia and media richness.
"[Chunsheng Zhu, Lei Shu 0001, Victor C. M. Leung, Song Guo, Yan Zhang 0002, Laurence T. Yang]",Secure Multimedia Big Data in Trust-Assisted Sensor-Cloud for Smart City.
"[Muhammad Faran Majeed, Syed Hassan Ahmed, Siraj Muhammad, Houbing Song, Danda B. Rawat]",Multimedia streaming in information-centric networking - A survey and future perspectives.
"[Fadi Al-Turjman, Ayman Radwan, Shahid Mumtaz, Jonathan Rodriguez]",Mobile traffic modelling for wireless multimedia sensor networks in IoT.
"[Michael Oche, Rafidah Md Noor, Chembe Christopher]",Multivariate statistical approach for estimating QoE of real-time multimedia applications in vehicular ITS network.
"[Changqiao Xu, Wei Quan, Athanasios V. Vasilakos, Hongke Zhang, Gabriel-Miro Muntean]",Information-centric cost-efficient optimization for multimedia content delivery in mobile vehicular networks.
"[Vesna S. Ruzicic, Zivadin M. Micic]",Creating a strategic national knowledge architecture - A comparative analysis of knowledge source innovation in the ICS subfields of multimedia and IT security.
"[Mohammed Zaki Hasan, Hussain M. Al-Rizzo, Fadi Al-Turjman]",A Survey on Multipath Routing Protocols for QoS Assurances in Real-Time Wireless Multimedia Sensor Networks.
"[Daniel G. Costa, Solenir Figuerêdo, Gledson Oliveira]",Cryptography in Wireless Multimedia Sensor Networks - A Survey and Research Directions.
Britta Meixner,Hypervideos and Interactive Multimedia Presentations.
"[Peratham Wiriyathammabhum, Douglas Summers-Stay, Cornelia Fermüller, Yiannis Aloimonos]",Computer Vision and Natural Language Processing - Recent Approaches in Multimedia and Robotics.
"[Minquan Cheng, Hung-Lin Fu, Jing Jiang, Yuan-Hsun Lo, Ying Miao]",Codes with the identifiable parent property for multimedia fingerprinting.
"[M. Armenteros, Shu-Sheng Liaw, M. J. Sánchez-Franco, M. Fernández, R. Arteaga Sánchez]",Analysis of FIFA referees and assistant referees&apos; motivational factors towards the Multimedia Teaching Materials.
"[Volkan Inceçay, Zeynep Koçoglu]",Investigating the effects of multimedia input modality on L2 listening skills of Turkish EFL learners.
"[Piyaporn Techaraungrong, Surachai Suksakulchai, Wacheerapan Kaewprapan, Elizabeth Murphy]",The design and testing of multimedia for teaching arithmetic to deaf learners.
"[Wei-hang Shi, Wei-ping Li]",Mobile multimedia crowd service cooperation control protocol based on opportunistic wavelet.
"[Jianming Zhou, Tao Dong]",Retraction note - Invulnerability mechanism based on mobility prediction and opportunistic cloud computing with topological evolution for wireless multimedia sensor networks.
"[David Megías, Amna Qureshi]",Collusion-resistant and privacy-preserving P2P multimedia distribution based on recombined fingerprinting.
"[Julián Moreno Schneider, Paloma Martínez, José Luis Martínez-Fernández]",Combining heterogeneous sources in an interactive multimedia content retrieval model.
"[S. Geetha, P. Amritvalli]",High Speed Error Tolerant Adder for Multimedia Applications.
"[Zhe Wang, Olusola O. Adesope]",Do Focused Self-Explanation Prompts Overcome Seductive Details? A Multimedia Study.
"[Emna Charfi, Cédric Gueguen, Lamia Chaari, Bernard Cousin, Lotfi Kamoun]",Dynamic frame aggregation scheduler for multimedia applications in IEEE 802.11n networks.
